Date,Cases,Deaths
16 Jun 2014,33,24
22 Jun 2014,51,34
30 Jun 2014,107,65
02 Jul 2014,115,75
06 Jul 2014,131,84
08 Jul 2014,142,88
12 Jul 2014,172,105
14 Jul 2014,174,106
17 Jul 2014,196,116
20 Jul 2014,224,127
23 Jul 2014,249,129
27 Jul 2014,329,156
30 Jul 2014,391,227
01 Aug 2014,468,255
04 Aug 2014,516,282
06 Aug 2014,554,294
09 Aug 2014,599,323
11 Aug 2014,670,355
13 Aug 2014,786,413
15 Aug 2014,834,466
18 Aug 2014,972,576
20 Aug 2014,1082,624
